SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Lake Lowell (Deer Flat Dam),43.58333,-116.73333,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,173043,,,,
Lucky Peak Reservoir (Lucky Peak Dam),43.527969,-116.0537,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,307043,,,,
Lake Walcott (Minidoka Dam),42.669915,-113.482993,ID,Columbia-Pacific Northwest,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,210200,,,,
Lake Owyhee (Owyhee Dam),43.64156,-117.24305,OR,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1120000,,,,
Palisades Reservoir (Palisades Dam),43.330518,-111.206346,ID,Columbia-Pacific Northwest,170401,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1402000,,,,
Mason Reservoir (Mason Dam),44.67167,-118.00000000000001,OR,Columbia-Pacific Northwest,170502,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,95500,,,,
Rimrock Lake (Tieton Dam),46.6566042,-121.1289276,WA,Columbia-Pacific Northwest,170300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,198000,,,,
Ririe Reservoir (Ririe Dam),43.5821394,-111.7428411,ID,Columbia-Pacific Northwest,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,100500,,,,
Mann Lake (Reservoir A Dam),46.37111,-116.8575,ID,Columbia-Pacific Northwest,170603,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,2440,,,,
Soldiers Meadow Reservoir (Soldiers Meadow Dam),46.16722,-116.73666,ID,Columbia-Pacific Northwest,170603,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,2370,,,,
Clear Lake (OR) (Wasco Dam),45.17638889,-121.6944444,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,13066,,,,
Wickiup Reservoir (Wickiup Dam),43.683822,-121.689761,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,200000,,,,
Little Wood River Reservoir (Little Wood River Dam),43.42528,-114.02723,ID,Columbia-Pacific Northwest,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,30000,,,,
