SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,ActiveCapacity,PctFull,TeacupUrl,DataUrl,Comment
Horsetooth Reservoir (Horsetooth Dam),40.5994,-105.1711,CO,Upper Colorado Basin,101900,af,139738,04/10/1997,04/10/1997,156960,151253.5,139655.75,127042,115775.25,93245.04000000002,37256.7,121297.72,1.0999354544166495,1.1520249514995005,10/1/1990 - 9/30/2020,156735,139135,0.8915558107633904,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/369?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Hyrum Reservoir (Hyrum Dam),41.62117,-111.86099,UT,Upper Colorado Basin,160102,af,11491.9,04/10/1997,04/10/1997,15293,15173.84,14774,13775,12194,11189.6,10598,13396,0.8342577132486388,0.8578605553896685,10/1/1990 - 9/30/2020,17746,13881,0.6475769187422518,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/372?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Jackson Gulch Reservoir (Jackson Gulch Dam),37.40186,-108.27342,CO,Upper Colorado Basin,140801,af,6181,04/10/1997,04/10/1997,8376,7057.9000000000005,6287.35,5331.9,4137.5,3149.7000000000003,1918,5245.840333333334,1.1592490481816988,1.1782668947669712,10/1/1990 - 9/30/2020,9980,9950,0.6193386773547094,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/378?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Jamestown Reservoir (Jamestown Dam),46.9306,-98.7064,ND,Missouri Basin,101600,af,41997,04/10/1997,04/10/1997,118719,75541.1,60085.325,33162.95,28761.424999999996,26728.560000000005,16538.3,44847.35666666667,1.2663831173041,0.9364431512017022,10/1/1990 - 9/30/2020,220990,220698,0.19004027331553464,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/379?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Jordanelle Reservoir (Jordanelle Dam),40.60689,-111.41655,UT,Upper Colorado Basin,160202,af,227074,04/10/1997,04/10/1997,276024,266858.7,247552.75,226154.5,204675.25,143458.6,3247.42,212190.60428571427,1.0040658045716535,1.0701416340482506,10/1/1990 - 9/30/2020,361500,360500,0.6281438450899032,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/384?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Keswick Reservoir (Keswick Dam),40.601,-122.443,CA,California-Great Basin,180201,af,23109.9,04/10/1997,04/10/1997,23109.9,22419.870000000003,22055,20931,20577.75,20085.02,18603,21150.223333333335,1.1040991830299556,1.09265512877957,10/1/1990 - 9/30/2020,23772,7470,0.9721479050984352,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/387?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Keyhole Reservoir (Keyhole Dam),44.3819,-104.7792,WY,Upper Colorado Basin,101202,af,182340,04/10/1997,04/10/1997,198443,182960.7,174065.75,147731,97507.25,56802.52000000001,26508.7,130224.46333333336,1.2342703968699866,1.4001977457435737,10/1/1990 - 9/30/2020,329134,322542,0.553999282966816,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/388?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Keith Sebelius Lake (Norton Dam),39.8075,-99.9342,KS,Missouri Basin,102500,af,40107.7,04/10/1997,04/10/1997,40107.7,30115.040000000005,25019,17913,10726.25,9130.2,4462,18758.056666666667,2.239027521911461,2.13815859034438,10/1/1990 - 9/30/2020,133740,129747,0.29989307611784055,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/390?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Kirwin Reservoir (Kirwin Dam),39.6636,-99.1247,KS,Missouri Basin,102600,af,107935,04/10/1997,04/10/1997,110090,107480.1,99682.5,83728.5,38347.5,19943.8,9341,69776.88666666667,1.2891070543482803,1.5468589264467991,10/1/1990 - 9/30/2020,313290,304775,0.344521050783619,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/391?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Nighthorse (Ridges Basin Dam),37.22392,-107.91694,CO,Upper Colorado Basin,140801,af,,,04/10/1997,113679,113146,112754.5,112009,106492.5,77567,25221,100351.81818181818,,,10/1/1990 - 9/30/2020,123541,93541,,,,
Lake Powell (Glen Canyon Dam),37.05778,-111.30332,UT,Upper Colorado Basin,140700,af,18945900,04/10/1997,04/10/1997,20906300,20149760,16812325,12792450,11096200,10121673,7976700,13986800.666666668,1.4810220090756658,1.3545556594047885,10/1/1990 - 9/30/2020,26215000,20325000,0.7227121876788098,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/393?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Little Lake Alice (Little Lake Alice Dam),41.9625,-103.5722,NE,Missouri Basin,101800,af,23,04/10/1997,04/10/1997,136,125.3,119,50.5,24,18.800000000000004,7,65.70000000000002,0.45544554455445546,0.35007610350076096,10/1/1990 - 9/30/2020,1166,1143,0.01972555746140652,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/394?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lemon Reservoir (Lemon Dam),37.39538,-107.66269,CO,Upper Colorado Basin,140801,af,13423,04/10/1997,04/10/1997,37059,27071.820000000007,24677.75,19099.05,14563.75,9526.7,6740,19853.573333333337,0.7028098256195989,0.6760999531234679,10/1/1990 - 9/30/2020,40146,39030,0.3343546056892343,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/395?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Elwell (Tiber Dam),48.3183,-111.0908,MT,Missouri Basin,100302,af,810110,04/10/1997,04/10/1997,858565,812722.8,788531.75,750784.5,713759,682627.6000000001,642433,751849,1.0790180138242065,1.0774902939287012,10/1/1990 - 9/30/2020,1328723,774393,0.6096906578722578,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/396?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lewiston Lake (Lewiston Dam),40.727,-122.793,CA,California-Great Basin,180102,af,13601.8,04/10/1997,04/10/1997,14352,14257.3,14176.25,13967.15,13705.25,13590.5,13491.5,13940.096666666666,0.9738421940052192,0.9757321147223036,10/1/1990 - 9/30/2020,14660,2890,0.9278171896316508,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/397?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Minatare (Minatare Dam),41.9183,-103.4886,NE,Missouri Basin,101800,af,37139,04/10/1997,04/10/1997,38573,35112.200000000004,31702.5,28233,16307,9684.000000000002,7066,25021.5,1.3154464633584813,1.4842835161760886,10/1/1990 - 9/30/2020,58795,58697,0.6316693596394252,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/399?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lost Creek Reservoir (Lost Creek Dam),41.18887,-111.39628,UT,Upper Colorado Basin,160201,af,0,04/07/1997,04/10/1997,21831,18545.1,17169,14697,10888.9475,7224.799999999999,1284,13634.374642857145,0,0,10/1/1990 - 9/30/2020,22510,20010,0,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/400?parameter-name=Storage&datetime=1997-04-07/1997-04-08&f=csv,
